噜咪ID,体型,活动地图,关键特质,行为习惯,噜咪名
100101,小型,雨林,测试特质,测试行为,卡皮巴拉
100201,,,,,紫电猫
100301,,,,,蓝电猫
100401,,,,,拉链小熊
100501,,,,,多肉猫
100601,,,,,咕咕鸡
100701,,,,,炸弹鸡
100801,,,,,练习鸡
100901,,,,,香菇鸡
101001,,,,,小菜鸡
101101,,,,,柴火熊
101201,,,,,火猫
101301,,,,,好运鸟
101401,,,,,小麦雀
101501,,,,,雨滴蛙
101601,,,,,火龙
101701,,,,,烈焰龙
101801,,,,,飞叶鼠
101901,,,,,小鹿晶晶
102001,,,,,冰川鹿
102101,,,,,九色鹿
102102,,,,,祥云鹿
102103,,,,,铃兰鹿
102201,,,,,小马嘟嘟
102301,,,,,独角兽
102401,,,,,金刚狼
102404,,,,,金刚狼·异
102501,,,,,发奋仓鼠
102601,,,,,筋肉狗
102602,,,,,旋风柴
102701,,,,,筋肉鹅
102801,,,,,传话蛙
102901,,,,,淘淘
103001,,,,,电豹
103101,,,,,呆呆鸟
103201,,,,,水母花花
103301,,,,,企鹅秋秋
103304,,,,,企鹅秋秋·异
103401,,,,,小火狐
103501,,,,,软脚虾
103601,,,,,奶牛哞哞
103701,,,,,呐喊君
103704,,,,,呐喊君·异
103801,,,,,黄风大圣
103804,,,,,黄风大圣·异
103901,,,,,食梦貘
104001,,,,,娜娜狮
104101,,,,,小钢狼
104201,,,,,土犀犀
104301,,,,,火马墩墩
104401,,,,,地鼠方方
104501,,,,,火莱姆
104601,,,,,水莱姆
104701,,,,,冰莱姆
104801,,,,,草莱姆
104901,,,,,电莱姆
105001,,,,,土莱姆
105101,,,,,暗莱姆
105201,,,,,光莱姆
105301,,,,,史莱姆王
105401,,,,,怪盗蝠
105501,,,,,闪电狗
105504,,,,,闪电狗·异
105601,,,,,小蜜蜜
105701,,,,,盼盼
105801,,,,,海浪龙
105804,,,,,海浪龙·异
105901,,,,,暗龙宝宝
106001,,,,,霸王暗龙
106101,,,,,月兔
106201,,,,,只鼬
106202,,,,,3D只鼬
106301,,,,,狮鹫宝宝
106401,,,,,英俊狮鹫
106404,,,,,英俊狮鹫·异
106501,,,,,冰麒麟
106601,,,,,美团团
106701,,,,,萝卜兔
106801,,,,,土豆鼹鼠
106901,,,,,雨鳍猫鲨
107001,,,,,迷梦猫鲨
